Run Date,Tuesday, October 17, 2023 2:07 PM
Process Type,Regional Picking
Operator,Molecular Devices


Annotations:
Date,Operator,Annotation
Tuesday, October 17, 2023 2:07 PM,Molecular Devices,Regional Picking carried out on 10/17/2023 at 2:07:57 PM by Molecular Devices



Source Barcode,Source Region,Feature Position X,Feature Position Y,Destination Barcode,Destination Well
Auto6383314731360752059,A1,20.5108,39.9171,Auto63833148408135836110,A1
Auto6383314731360752059,A1,8.26477,26.4742,Auto63833148408135836110,B1
Auto6383314731360752059,A1,22.0426,25.4119,Auto63833148408135836110,C1
Auto6383314731360752059,A1,13.9564,23.9369,Auto63833148408135836110,D1
Auto6383314731360752059,A2,45.3603,41.3947,Auto63833148408135836110,E1
Auto6383314731360752059,A2,41.3806,39.7919,Auto63833148408135836110,F1
Auto6383314731360752059,A2,37.1253,33.495,Auto63833148408135836110,G1
Auto6383314731360752059,A2,48.7945,24.4454,Auto63833148408135836110,H1
Auto6383314731360752059,A3,76.251,31.296,Auto63833148408135836110,A2
Auto6383314731360752059,A3,65.3425,28.4807,Auto63833148408135836110,B2
Auto6383314731360752059,A3,68.1107,22.42,Auto63833148408135836110,C2
Auto6383314731360752059,A3,75.2614,22.2584,Auto63833148408135836110,D2
Auto6383314731360752059,A4,95.5106,35.5208,Auto63833148408135836110,E2
Auto6383314731360752059,A4,101.615,32.8052,Auto63833148408135836110,F2
Auto6383314731360752059,A4,95.9349,24.3177,Auto63833148408135836110,G2
Auto6383314731360752059,A4,97.5802,20.1775,Auto63833148408135836110,H2
Auto6383314731360752059,A5,124.268,26.9815,Auto63833148408135836110,A3
Auto6383314731360752059,A5,136,25.1123,Auto63833148408135836110,B3
Auto6383314731360752059,A5,125.499,23.6482,Auto63833148408135836110,C3
Auto6383314731360752059,A5,121.002,21.7483,Auto63833148408135836110,D3
Auto6383314731360752059,A6,148.832,40.3981,Auto63833148408135836110,E3
Auto6383314731360752059,A6,162.493,39.7338,Auto63833148408135836110,F3
Auto6383314731360752059,A6,163.913,37.3848,Auto63833148408135836110,G3
Auto6383314731360752059,A6,155.173,36.2283,Auto63833148408135836110,H3
Auto6383314731360752059,A7,182.774,40.3551,Auto63833148408135836110,A4
Auto6383314731360752059,A7,180.279,23.621,Auto63833148408135836110,B4
Auto6383314731360752059,A7,194.624,21.2907,Auto63833148408135836110,C4
Auto6383314731360752059,A7,177.889,17.8847,Auto63833148408135836110,D4
Auto6383314731360752059,A8,205.015,37.3849,Auto63833148408135836110,E4
Auto6383314731360752059,A8,209.527,36.9185,Auto63833148408135836110,F4
Auto6383314731360752059,A8,211.413,23.802,Auto63833148408135836110,G4
Auto6383314731360752059,A8,206.256,20.7228,Auto63833148408135836110,H4
Auto6383314731360752059,B2,44.62,70.1812,Auto63833148408135836110,A5
Auto6383314731360752059,B2,39.5555,64.7283,Auto63833148408135836110,B5
Auto6383314731360752059,B2,44.699,58.1485,Auto63833148408135836110,C5
Auto6383314731360752059,B2,39.9816,55.8564,Auto63833148408135836110,D5
Auto6383314731360752059,B3,75.0776,76.354,Auto63833148408135836110,E5
Auto6383314731360752059,B3,67.346,73.5229,Auto63833148408135836110,F5
Auto6383314731360752059,B3,78.8661,70.7805,Auto63833148408135836110,G5
Auto6383314731360752059,B3,66.3764,63.9462,Auto63833148408135836110,H5
Auto6383314731360752059,B4,103.282,69.7023,Auto63833148408135836110,A6
Auto6383314731360752059,B4,107.003,57.5252,Auto63833148408135836110,B6
Auto6383314731360752059,B4,92.5927,56.7456,Auto63833148408135836110,C6
Auto6383314731360752059,B4,102.026,52.5531,Auto63833148408135836110,D6
Auto6383314731360752059,B5,133.44,67.308,Auto63833148408135836110,E6
Auto6383314731360752059,B5,125.291,61.8751,Auto63833148408135836110,F6
Auto6383314731360752059,B5,131.877,56.9195,Auto63833148408135836110,G6
Auto6383314731360752059,B5,127.483,55.084,Auto63833148408135836110,H6
Auto6383314731360752059,B6,159.794,65.6364,Auto63833148408135836110,A7
Auto6383314731360752059,B6,148.371,58.5797,Auto63833148408135836110,B7
Auto6383314731360752059,B6,163.646,54.4905,Auto63833148408135836110,C7
Auto6383314731360752059,B6,153.551,53.7381,Auto63833148408135836110,D7
Auto6383314731360752059,B7,185.988,70.8549,Auto63833148408135836110,E7
Auto6383314731360752059,B7,180.564,62.8464,Auto63833148408135836110,F7
Auto6383314731360752059,B7,176.494,53.6881,Auto63833148408135836110,G7
Auto6383314731360752059,B7,181.394,51.3379,Auto63833148408135836110,H7
Auto6383314731360752059,B8,218.977,73.6688,Auto63833148408135836110,A8
Auto6383314731360752059,B8,212.982,70.451,Auto63833148408135836110,B8
Auto6383314731360752059,B8,217.694,61.8899,Auto63833148408135836110,C8
Auto6383314731360752059,B8,208.199,58.1103,Auto63833148408135836110,D8
Auto6383314731360752059,C2,44.6058,91.2555,Auto63833148408135836110,E8
Auto6383314731360752059,C2,49.5968,89.0478,Auto63833148408135836110,F8
Auto6383314731360752059,C2,46.6056,85.3823,Auto63833148408135836110,G8
Auto6383314731360752059,C2,43.4723,85.444,Auto63833148408135836110,H8
Auto6383314731360752059,C3,75.4002,97.0259,Auto63833148408135836110,A9
Auto6383314731360752059,C3,71.4779,92.8795,Auto63833148408135836110,B9
Auto6383314731360752059,C3,83.1129,87.756,Auto63833148408135836110,C9
Auto6383314731360752059,C3,66.8045,85.7258,Auto63833148408135836110,D9
Auto6383314731360752059,C4,100.34,104.345,Auto63833148408135836110,E9
Auto6383314731360752059,C5,124.149,90.063,Auto63833148408135836110,F9
Auto6383314731360752059,C5,132.243,88.3234,Auto63833148408135836110,G9
Auto6383314731360752059,C5,126.856,87.185,Auto63833148408135836110,H9
Auto6383314731360752059,C5,119.396,85.4945,Auto63833148408135836110,A10
Auto6383314731360752059,C6,149.493,89.9644,Auto63833148408135836110,B10
Auto6383314731360752059,C6,158.104,88.3942,Auto63833148408135836110,C10
Auto6383314731360752059,C6,155.909,86.7967,Auto63833148408135836110,D10
Auto6383314731360752059,C6,161.977,85.1175,Auto63833148408135836110,E10
Auto6383314731360752059,C7,186.471,106.256,Auto63833148408135836110,F10
Auto6383314731360752059,C7,180.944,100.768,Auto63833148408135836110,G10
Auto6383314731360752059,C7,183.059,96.1479,Auto63833148408135836110,H10
Auto6383314731360752059,C7,180.771,91.2215,Auto63833148408135836110,A11
Auto6383314731360752059,C8,217.678,100.039,Auto63833148408135836110,B11
Auto6383314731360752059,C8,208.48,91.4776,Auto63833148408135836110,C11
Auto6383314731360752059,C8,203.696,90.7835,Auto63833148408135836110,D11
Auto6383314731360752059,C8,218.401,85.1767,Auto63833148408135836110,E11
Auto6383314731360752059,D3,74.3703,125.47,Auto63833148408135836110,F11
Auto6383314731360752059,D3,68.9663,124.881,Auto63833148408135836110,G11
Auto6383314731360752059,D3,80.3331,124.379,Auto63833148408135836110,H11
Auto6383314731360752059,D3,81.2607,119.092,Auto63833148408135836110,A12
Auto6383314731360752059,D4,109.238,134.055,Auto63833148408135836110,B12
Auto6383314731360752059,D4,108.044,131.723,Auto63833148408135836110,C12
Auto6383314731360752059,D4,94.2233,126.666,Auto63833148408135836110,D12
Auto6383314731360752059,D4,103.53,122.766,Auto63833148408135836110,E12
Auto6383314731360752059,D5,122.111,134.379,Auto63833148408135836110,F12
Auto6383314731360752059,D5,123.509,124.648,Auto63833148408135836110,G12
Auto6383314731360752059,A1,20.5108,39.9171,Auto63833148408167750712,A1
Auto6383314731360752059,A1,8.26477,26.4742,Auto63833148408167750712,B1
Auto6383314731360752059,A1,22.0426,25.4119,Auto63833148408167750712,C1
Auto6383314731360752059,A1,13.9564,23.9369,Auto63833148408167750712,D1
Auto6383314731360752059,A2,45.3603,41.3947,Auto63833148408167750712,E1
Auto6383314731360752059,A2,41.3806,39.7919,Auto63833148408167750712,F1
Auto6383314731360752059,A2,37.1253,33.495,Auto63833148408167750712,G1
Auto6383314731360752059,A2,48.7945,24.4454,Auto63833148408167750712,H1
Auto6383314731360752059,A3,76.251,31.296,Auto63833148408167750712,A2
Auto6383314731360752059,A3,65.3425,28.4807,Auto63833148408167750712,B2
Auto6383314731360752059,A3,68.1107,22.42,Auto63833148408167750712,C2
Auto6383314731360752059,A3,75.2614,22.2584,Auto63833148408167750712,D2
Auto6383314731360752059,A4,95.5106,35.5208,Auto63833148408167750712,E2
Auto6383314731360752059,A4,101.615,32.8052,Auto63833148408167750712,F2
Auto6383314731360752059,A4,95.9349,24.3177,Auto63833148408167750712,G2
Auto6383314731360752059,A4,97.5802,20.1775,Auto63833148408167750712,H2
Auto6383314731360752059,A5,124.268,26.9815,Auto63833148408167750712,A3
Auto6383314731360752059,A5,136,25.1123,Auto63833148408167750712,B3
Auto6383314731360752059,A5,125.499,23.6482,Auto63833148408167750712,C3
Auto6383314731360752059,A5,121.002,21.7483,Auto63833148408167750712,D3
Auto6383314731360752059,A6,148.832,40.3981,Auto63833148408167750712,E3
Auto6383314731360752059,A6,162.493,39.7338,Auto63833148408167750712,F3
Auto6383314731360752059,A6,163.913,37.3848,Auto63833148408167750712,G3
Auto6383314731360752059,A6,155.173,36.2283,Auto63833148408167750712,H3
Auto6383314731360752059,A7,182.774,40.3551,Auto63833148408167750712,A4
Auto6383314731360752059,A7,180.279,23.621,Auto63833148408167750712,B4
Auto6383314731360752059,A7,194.624,21.2907,Auto63833148408167750712,C4
Auto6383314731360752059,A7,177.889,17.8847,Auto63833148408167750712,D4
Auto6383314731360752059,A8,205.015,37.3849,Auto63833148408167750712,E4
Auto6383314731360752059,A8,209.527,36.9185,Auto63833148408167750712,F4
Auto6383314731360752059,A8,211.413,23.802,Auto63833148408167750712,G4
Auto6383314731360752059,A8,206.256,20.7228,Auto63833148408167750712,H4
Auto6383314731360752059,B2,44.62,70.1812,Auto63833148408167750712,A5
Auto6383314731360752059,B2,39.5555,64.7283,Auto63833148408167750712,B5
Auto6383314731360752059,B2,44.699,58.1485,Auto63833148408167750712,C5
Auto6383314731360752059,B2,39.9816,55.8564,Auto63833148408167750712,D5
Auto6383314731360752059,B3,75.0776,76.354,Auto63833148408167750712,E5
Auto6383314731360752059,B3,67.346,73.5229,Auto63833148408167750712,F5
Auto6383314731360752059,B3,78.8661,70.7805,Auto63833148408167750712,G5
Auto6383314731360752059,B3,66.3764,63.9462,Auto63833148408167750712,H5
Auto6383314731360752059,B4,103.282,69.7023,Auto63833148408167750712,A6
Auto6383314731360752059,B4,107.003,57.5252,Auto63833148408167750712,B6
Auto6383314731360752059,B4,92.5927,56.7456,Auto63833148408167750712,C6
Auto6383314731360752059,B4,102.026,52.5531,Auto63833148408167750712,D6
Auto6383314731360752059,B5,133.44,67.308,Auto63833148408167750712,E6
Auto6383314731360752059,B5,125.291,61.8751,Auto63833148408167750712,F6
Auto6383314731360752059,B5,131.877,56.9195,Auto63833148408167750712,G6
Auto6383314731360752059,B5,127.483,55.084,Auto63833148408167750712,H6
Auto6383314731360752059,B6,159.794,65.6364,Auto63833148408167750712,A7
Auto6383314731360752059,B6,148.371,58.5797,Auto63833148408167750712,B7
Auto6383314731360752059,B6,163.646,54.4905,Auto63833148408167750712,C7
Auto6383314731360752059,B6,153.551,53.7381,Auto63833148408167750712,D7
Auto6383314731360752059,B7,185.988,70.8549,Auto63833148408167750712,E7
Auto6383314731360752059,B7,180.564,62.8464,Auto63833148408167750712,F7
Auto6383314731360752059,B7,176.494,53.6881,Auto63833148408167750712,G7
Auto6383314731360752059,B7,181.394,51.3379,Auto63833148408167750712,H7
Auto6383314731360752059,B8,218.977,73.6688,Auto63833148408167750712,A8
Auto6383314731360752059,B8,212.982,70.451,Auto63833148408167750712,B8
Auto6383314731360752059,B8,217.694,61.8899,Auto63833148408167750712,C8
Auto6383314731360752059,B8,208.199,58.1103,Auto63833148408167750712,D8
Auto6383314731360752059,C2,44.6058,91.2555,Auto63833148408167750712,E8
Auto6383314731360752059,C2,49.5968,89.0478,Auto63833148408167750712,F8
Auto6383314731360752059,C2,46.6056,85.3823,Auto63833148408167750712,G8
Auto6383314731360752059,C2,43.4723,85.444,Auto63833148408167750712,H8
Auto6383314731360752059,C3,75.4002,97.0259,Auto63833148408167750712,A9
Auto6383314731360752059,C3,71.4779,92.8795,Auto63833148408167750712,B9
Auto6383314731360752059,C3,83.1129,87.756,Auto63833148408167750712,C9
Auto6383314731360752059,C3,66.8045,85.7258,Auto63833148408167750712,D9
Auto6383314731360752059,C4,100.34,104.345,Auto63833148408167750712,E9
Auto6383314731360752059,C5,124.149,90.063,Auto63833148408167750712,F9
Auto6383314731360752059,C5,132.243,88.3234,Auto63833148408167750712,G9
Auto6383314731360752059,C5,126.856,87.185,Auto63833148408167750712,H9
Auto6383314731360752059,C5,119.396,85.4945,Auto63833148408167750712,A10
Auto6383314731360752059,C6,149.493,89.9644,Auto63833148408167750712,B10
Auto6383314731360752059,C6,158.104,88.3942,Auto63833148408167750712,C10
Auto6383314731360752059,C6,155.909,86.7967,Auto63833148408167750712,D10
Auto6383314731360752059,C6,161.977,85.1175,Auto63833148408167750712,E10
Auto6383314731360752059,C7,186.471,106.256,Auto63833148408167750712,F10
Auto6383314731360752059,C7,180.944,100.768,Auto63833148408167750712,G10
Auto6383314731360752059,C7,183.059,96.1479,Auto63833148408167750712,H10
Auto6383314731360752059,C7,180.771,91.2215,Auto63833148408167750712,A11
Auto6383314731360752059,C8,217.678,100.039,Auto63833148408167750712,B11
Auto6383314731360752059,C8,208.48,91.4776,Auto63833148408167750712,C11
Auto6383314731360752059,C8,203.696,90.7835,Auto63833148408167750712,D11
Auto6383314731360752059,C8,218.401,85.1767,Auto63833148408167750712,E11
Auto6383314731360752059,D3,74.3703,125.47,Auto63833148408167750712,F11
Auto6383314731360752059,D3,68.9663,124.881,Auto63833148408167750712,G11
Auto6383314731360752059,D3,80.3331,124.379,Auto63833148408167750712,H11
Auto6383314731360752059,D3,81.2607,119.092,Auto63833148408167750712,A12
Auto6383314731360752059,D4,109.238,134.055,Auto63833148408167750712,B12
Auto6383314731360752059,D4,108.044,131.723,Auto63833148408167750712,C12
Auto6383314731360752059,D4,94.2233,126.666,Auto63833148408167750712,D12
Auto6383314731360752059,D4,103.53,122.766,Auto63833148408167750712,E12
Auto6383314731360752059,D5,122.111,134.379,Auto63833148408167750712,F12
Auto6383314731360752059,D5,123.509,124.648,Auto63833148408167750712,G12
Auto6383314731360752059,D5,119.576,124.162,Auto63833148408135836111,A1
Auto6383314731360752059,D5,138.404,122.897,Auto63833148408135836111,B1
Auto6383314731360752059,D6,157.128,137.132,Auto63833148408135836111,C1
Auto6383314731360752059,D6,151.816,132.554,Auto63833148408135836111,D1
Auto6383314731360752059,D6,164.967,129.25,Auto63833148408135836111,E1
Auto6383314731360752059,D6,162.421,123.846,Auto63833148408135836111,F1
Auto6383314731360752059,D7,175.403,123.449,Auto63833148408135836111,G1
Auto6383314731360752059,D7,185.559,123.23,Auto63833148408135836111,H1
Auto6383314731360752059,D7,190.875,121.219,Auto63833148408135836111,A2
Auto6383314731360752059,D7,180.828,120.769,Auto63833148408135836111,B2
Auto6383314731360752059,D8,205.462,126.16,Auto63833148408135836111,C2
Auto6383314731360752059,D8,222.129,126.149,Auto63833148408135836111,D2
Auto6383314731360752059,D8,219.932,125.726,Auto63833148408135836111,E2
Auto6383314731360752059,D8,210.546,125.174,Auto63833148408135836111,F2
Auto6383314731360752059,D5,119.576,124.162,Auto63833148408167750713,A1
Auto6383314731360752059,D5,138.404,122.897,Auto63833148408167750713,B1
Auto6383314731360752059,D6,157.128,137.132,Auto63833148408167750713,C1
Auto6383314731360752059,D6,151.816,132.554,Auto63833148408167750713,D1
Auto6383314731360752059,D6,164.967,129.25,Auto63833148408167750713,E1
Auto6383314731360752059,D6,162.421,123.846,Auto63833148408167750713,F1
Auto6383314731360752059,D7,175.403,123.449,Auto63833148408167750713,G1
Auto6383314731360752059,D7,185.559,123.23,Auto63833148408167750713,H1
Auto6383314731360752059,D7,190.875,121.219,Auto63833148408167750713,A2
Auto6383314731360752059,D7,180.828,120.769,Auto63833148408167750713,B2
Auto6383314731360752059,D8,205.462,126.16,Auto63833148408167750713,C2
Auto6383314731360752059,D8,222.129,126.149,Auto63833148408167750713,D2
Auto6383314731360752059,D8,219.932,125.726,Auto63833148408167750713,E2
Auto6383314731360752059,D8,210.546,125.174,Auto63833148408167750713,F2
