Run Date,Wednesday, October 18, 2023 3:35 PM,,
Process Type,Regional Picking,,,,
Operator,Molecular Devices,,,,
,,,,,
,,,,,
Annotations:,,,,,
Date,Operator,Annotation,,,
Wednesday, October 18, 2023 3:35 PM,Molecular Devices,Regional Picking carried out on 10/18/2023 at 3:35:58 PM by Molecular Devices,
,,,,,
,,,,,
,,,,,
Source Barcode,Source Region,Feature Position X,Feature Position Y,Destination Barcode,Destination Well
Auto6383323922827121923,A1,20.4632,39.7936,Auto6383324009004391294,A1
Auto6383323922827121923,A1,24.4904,32.858,Auto6383324009004391294,B1
Auto6383323922827121923,A1,13.9615,23.897,Auto6383324009004391294,C1
Auto6383323922827121923,A1,16.574,22.9272,Auto6383324009004391294,D1
Auto6383323922827121923,A2,38.4875,40.111,Auto6383324009004391294,E1
Auto6383323922827121923,A2,41.7827,33.7715,Auto6383324009004391294,F1
Auto6383323922827121923,A2,42.755,29.9751,Auto6383324009004391294,G1
Auto6383323922827121923,A2,45.5202,22.6868,Auto6383324009004391294,H1
Auto6383323922827121923,A3,64.0274,34.2537,Auto6383324009004391294,A2
Auto6383323922827121923,A3,66.8251,33.8073,Auto6383324009004391294,B2
Auto6383323922827121923,A3,79.8977,26.1755,Auto6383324009004391294,C2
Auto6383323922827121923,A3,66.4348,23.8304,Auto6383324009004391294,D2
Auto6383323922827121923,A4,101.723,32.7698,Auto6383324009004391294,E2
Auto6383323922827121923,A4,104.257,30.8316,Auto6383324009004391294,F2
Auto6383323922827121923,A4,100.462,26.8177,Auto6383324009004391294,G2
Auto6383323922827121923,A4,95.9282,24.2732,Auto6383324009004391294,H2
Auto6383323922827121923,A5,131.166,30.9912,Auto6383324009004391294,A3
Auto6383323922827121923,A5,126.168,27.4509,Auto6383324009004391294,B3
Auto6383323922827121923,A5,125.514,23.7415,Auto6383324009004391294,C3
Auto6383323922827121923,A5,131.466,19.4875,Auto6383324009004391294,D3
Auto6383323922827121923,A6,163.872,37.4052,Auto6383324009004391294,E3
Auto6383323922827121923,A6,153.006,37.2658,Auto6383324009004391294,F3
Auto6383323922827121923,A6,149.666,34.0318,Auto6383324009004391294,G3
Auto6383323922827121923,A6,160.322,21.565,Auto6383324009004391294,H3
Auto6383323922827121923,A7,182.742,40.3814,Auto6383324009004391294,A4
