Source Barcode,Destination Barcode,Qpix Source Well,Human Source Well,Destination Well,Sample Name,Source Agar Plate Barcode,Destination Plate Name
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,A1,scooby 1,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,A1,scooby 1,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,B1,scooby 1,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,B1,scooby 1,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,C1,scooby 1,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,C1,scooby 1,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,D1,scooby 1,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A1,A1,D1,scooby 1,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,E1,scooby 2,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,E1,scooby 2,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,F1,scooby 2,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,F1,scooby 2,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,G1,scooby 2,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,G1,scooby 2,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,H1,scooby 2,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A2,B1,H1,scooby 2,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,A2,scooby 3,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,A2,scooby 3,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,B2,scooby 3,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,B2,scooby 3,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,C2,scooby 3,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,C2,scooby 3,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,D2,scooby 3,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A3,C1,D2,scooby 3,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,E2,scooby 4,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,E2,scooby 4,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,F2,scooby 4,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,F2,scooby 4,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,G2,scooby 4,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,G2,scooby 4,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,H2,scooby 4,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A4,D1,H2,scooby 4,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A5,E1,A3,scooby 5,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A5,E1,A3,scooby 5,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A5,E1,B3,scooby 5,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A5,E1,B3,scooby 5,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A5,E1,C3,scooby 5,SDSOURCE-00101-110220231,SDDEST-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A5,E1,C3,scooby 5,SDSOURCE-00101-110220231,SDSTAM-00101-1
SDSOURCE-00101-110220231,SDDEST-00101-103120231,A5,E1,D3,scooby 5,SDSOURCE-00101-110220231,SDDEST-00101-1
