Source Barcode,Destination Barcode,Qpix Source Well,Human Source Well,Destination Well,Project ID,Sample Name,Source Agar Plate Barcode,Destination Plate Name
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,A1,00167,scooby 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,A1,00167,scooby 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,B1,00167,scooby 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,B1,00167,scooby 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,C1,00167,scooby 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,C1,00167,scooby 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,D1,00167,scooby 1,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A1,A1,D1,00167,scooby 1,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,E1,00167,scooby 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,E1,00167,scooby 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,F1,00167,scooby 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,F1,00167,scooby 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,G1,00167,scooby 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,G1,00167,scooby 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,H1,00167,scooby 2,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A2,B1,H1,00167,scooby 2,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,A2,00167,scooby 3,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,A2,00167,scooby 3,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,B2,00167,scooby 3,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,B2,00167,scooby 3,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,C2,00167,scooby 3,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,C2,00167,scooby 3,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,D2,00167,scooby 3,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A3,C1,D2,00167,scooby 3,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,E2,00167,scooby 4,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,E2,00167,scooby 4,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,F2,00167,scooby 4,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,F2,00167,scooby 4,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,G2,00167,scooby 4,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,G2,00167,scooby 4,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,H2,00167,scooby 4,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A4,D1,H2,00167,scooby 4,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,A3,00167,scooby 5,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,A3,00167,scooby 5,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,B3,00167,scooby 5,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,B3,00167,scooby 5,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,C3,00167,scooby 5,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,C3,00167,scooby 5,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,D3,00167,scooby 5,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A5,E1,D3,00167,scooby 5,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,E3,00167,scooby 6,SDSOURCE-00167-110320231,SDDEST-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,E3,00167,scooby 6,SDSOURCE-00167-110320231,SDSTAM-00167-1
SDSOURCE-00167-110320231,SDDEST-00167-110320231,A6,F1,F3,00167,scooby 6,SDSOURCE-00167-110320231,SDDEST-00167-1
